Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,DaysEnrolled,YearsEnrolled,Age,AgeGroup,MntTotal,MntRegProds,NbChildren,ChildrenPresence,AcceptedCmpTotal,AcceptedSomeCmp,NumTotalPurchases,Cluster
PhD,HasPartner,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,332,0,44,26-44,279,259,1,1,0,0,11,2
Master,HasPartner,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,270,0,33,26-44,62,62,1,1,0,0,5,0
PhD,HasPartner,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,514,1,37,26-44,1230,1206,1,1,3,1,18,2
Graduation,HasPartner,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,89,0,46,45-64,182,152,2,1,0,0,8,0
Graduation,HasPartner,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,310,0,44,26-44,49,42,2,1,0,0,6,0
PhD,HasPartner,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,286,0,48,45-64,75,67,2,1,0,0,6,0
Master,HasPartner,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,355,0,58,45-64,227,223,2,1,0,0,10,2
PhD,HasPartner,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,596,1,40,26-44,215,213,2,1,1,1,10,0
Graduation,HasPartner,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,468,1,63,45-64,444,345,1,1,0,0,13,2
2n Cycle,HasPartner,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,252,0,47,45-64,47,37,2,1,0,0,4,0
Master,HasPartner,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,440,1,63,45-64,143,91,0,0,0,0,6,0
Graduation,HasPartner,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,87,0,31,26-44,55,53,1,1,0,0,5,0
2n Cycle,HasPartner,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,72,0,43,26-44,63,54,2,1,0,0,7,0
Graduation,Single,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,644,1,59,45-64,1867,1643,0,0,3,1,21,1
Master,HasPartner,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,288,0,53,45-64,611,600,1,1,0,0,18,2
Graduation,HasPartner,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,43,0,59,45-64,473,443,1,1,1,1,15,2
Graduation,HasPartner,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,313,0,55,45-64,55,33,0,0,0,0,5,0
PhD,Single,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,625,1,30,26-44,81,64,1,1,0,0,5,0
Master,HasPartner,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,564,1,39,26-44,2086,2066,0,0,2,1,21,1
Master,Single,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,231,0,49,45-64,1478,1313,0,0,0,0,19,1
Graduation,HasPartner,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,150,0,37,26-44,49,33,1,1,0,0,4,0
PhD,HasPartner,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,291,0,42,26-44,382,382,0,0,0,0,14,1
Master,HasPartner,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,283,0,39,26-44,69,39,1,1,0,0,6,0
Graduation,Single,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,611,1,45,45-64,67,54,1,1,0,0,5,0
Master,HasPartner,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,253,0,45,45-64,30,28,2,1,0,0,4,0
2n Cycle,HasPartner,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,390,1,36,26-44,63,48,1,1,0,0,6,0
Graduation,HasPartner,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,681,1,33,26-44,79,75,1,1,0,0,7,0
Graduation,Single,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,493,1,53,45-64,42,38,1,1,0,0,4,0
Graduation,HasPartner,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,667,1,54,45-64,819,720,1,1,0,0,20,2
Graduation,Single,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,285,0,59,45-64,1151,1097,0,0,0,0,16,1
PhD,HasPartner,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,567,1,66,65+,594,545,2,1,0,0,17,2
Master,HasPartner,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,519,1,48,45-64,129,115,2,1,0,0,7,0
Master,Single,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,547,1,28,26-44,213,149,1,1,0,0,8,0
Graduation,Single,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,138,0,41,26-44,67,63,1,1,0,0,5,0
Graduation,Single,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,475,1,58,45-64,28,27,3,1,0,0,4,0
Basic,HasPartner,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,611,1,39,26-44,45,34,1,1,0,0,4,0
Graduation,HasPartner,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,53,0,49,45-64,1193,1171,0,0,1,1,17,1
Master,Single,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,314,0,45,45-64,268,228,0,0,0,0,10,2
Master,Single,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,346,0,70,65+,266,256,0,0,0,0,11,2
Basic,HasPartner,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,565,1,41,26-44,37,22,1,1,0,0,4,0
Graduation,HasPartner,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,244,0,47,45-64,37,35,3,1,0,0,5,0
PhD,Single,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,597,1,45,45-64,882,841,0,0,0,0,22,1
Graduation,HasPartner,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,338,0,40,26-44,373,349,2,1,0,0,13,2
Master,Single,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,419,1,49,45-64,35,32,3,1,0,0,4,0
Graduation,Single,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,468,1,36,26-44,42,32,2,1,0,0,4,0
Master,HasPartner,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,681,1,54,45-64,326,300,1,1,0,0,12,2
PhD,HasPartner,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,353,0,53,45-64,404,389,1,1,0,0,14,2
Graduation,Single,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,350,0,43,26-44,95,63,0,0,0,0,5,0
Graduation,Single,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,111,0,65,65+,939,904,0,0,2,1,13,1
2n Cycle,Single,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,183,0,36,26-44,33,31,1,1,0,0,4,0
2n Cycle,HasPartner,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,391,1,59,45-64,981,874,0,0,1,1,20,1
Graduation,HasPartner,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,525,1,38,26-44,36,30,1,1,0,0,5,0
Graduation,Single,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,391,1,39,26-44,1237,1047,1,1,0,0,19,1
Graduation,HasPartner,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,646,1,54,45-64,1825,1808,1,1,0,0,27,2
PhD,Single,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,661,1,37,26-44,103,95,2,1,0,0,6,0
Graduation,Single,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,558,1,37,26-44,191,188,1,1,0,0,9,0
PhD,HasPartner,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,222,0,44,26-44,1586,1556,1,1,0,0,23,2
PhD,HasPartner,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,16,0,56,45-64,963,909,0,0,0,0,13,1
2n Cycle,HasPartner,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,165,0,44,26-44,889,806,1,1,0,0,21,1
2n Cycle,Single,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,134,0,54,45-64,93,63,0,0,1,1,6,0
Graduation,Single,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,437,1,41,26-44,1587,1508,0,0,0,0,20,1
Graduation,Single,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,111,0,52,45-64,16,15,3,1,0,0,3,0
Graduation,Single,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,390,1,62,45-64,1375,1212,0,0,0,0,31,1
Graduation,HasPartner,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,537,1,52,45-64,393,345,1,1,0,0,13,2
Master,Single,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,639,1,64,45-64,1477,1408,1,1,0,0,21,2
Graduation,HasPartner,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,235,0,43,26-44,1179,1106,1,1,1,1,16,1
Graduation,HasPartner,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,632,1,54,45-64,1005,846,1,1,0,0,22,2
PhD,HasPartner,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,47,0,66,65+,1348,1322,0,0,0,0,20,1
PhD,Single,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,546,1,55,45-64,1307,1282,1,1,0,0,19,2
Graduation,Single,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,418,1,50,45-64,486,342,1,1,1,1,13,2
Master,HasPartner,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,476,1,67,65+,2252,2105,0,0,2,1,12,1
PhD,HasPartner,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,315,0,43,26-44,235,224,2,1,0,0,10,2
Graduation,HasPartner,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,524,1,44,26-44,1724,1517,0,0,2,1,30,1
Master,Single,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,198,0,44,26-44,235,216,1,1,0,0,10,2
Master,HasPartner,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,37,0,37,26-44,1092,1042,1,1,0,0,25,2
Graduation,HasPartner,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,286,0,56,45-64,599,453,1,1,0,0,15,2
Master,Single,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,132,0,54,45-64,2008,1970,0,0,1,1,19,1
Graduation,HasPartner,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,671,1,29,26-44,48,42,1,1,0,0,4,0
Graduation,HasPartner,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,686,1,40,26-44,1174,1163,1,1,0,0,27,2
PhD,HasPartner,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,77,0,64,45-64,67,58,1,1,0,0,6,0
Graduation,Single,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,695,1,59,45-64,365,348,1,1,0,0,13,2
Graduation,HasPartner,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,176,0,61,45-64,165,150,1,1,0,0,8,2
2n Cycle,HasPartner,26490.0,0,0,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,0,645,1,56,45-64,210,185,0,0,0,0,9,2
PhD,HasPartner,73059.0,0,1,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,0,302,0,67,65+,1095,1024,1,1,0,0,25,1
PhD,Single,46734.0,1,2,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,0,251,0,48,45-64,223,147,3,1,1,1,8,2
Graduation,HasPartner,56253.0,0,1,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,0,569,1,51,45-64,597,592,1,1,0,0,18,2
Graduation,HasPartner,19986.0,1,0,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,0,227,0,29,26-44,22,16,1,1,0,0,3,0
Graduation,Single,58330.0,0,1,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,0,186,0,39,26-44,1064,913,1,1,0,0,23,1
Basic,HasPartner,25965.0,0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,660,1,34,26-44,74,63,0,0,0,0,5,0
Master,HasPartner,14661.0,0,0,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,0,544,1,58,45-64,26,24,0,0,0,0,4,0
Graduation,HasPartner,18690.0,0,0,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,0,548,1,55,45-64,60,41,0,0,0,0,4,0
PhD,HasPartner,45068.0,0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,409,1,40,26-44,20,17,1,1,0,0,3,0
Basic,Single,21063.0,1,0,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,277,0,27,26-44,59,44,1,1,0,0,5,0
PhD,HasPartner,29187.0,1,0,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,0,416,1,46,45-64,34,32,1,1,0,0,4,0
2n Cycle,HasPartner,54690.0,1,1,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,0,234,0,43,26-44,198,180,2,1,0,0,9,2
PhD,HasPartner,59304.0,0,1,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,0,335,0,50,45-64,1048,1038,1,1,0,0,25,2
Master,Single,59247.0,0,2,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,0,233,0,52,45-64,574,491,2,1,0,0,16,2
Graduation,Single,66731.0,0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,655,1,44,26-44,1029,888,1,1,0,0,13,1
Graduation,HasPartner,77353.0,0,1,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,0,195,0,34,26-44,670,611,1,1,0,0,18,1
PhD,Single,52614.0,0,1,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,0,575,1,39,26-44,990,952,1,1,0,0,14,2
Graduation,HasPartner,26751.0,2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,38,0,40,26-44,11,10,2,1,0,0,3,0
PhD,HasPartner,81300.0,0,1,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,1,607,1,51,45-64,1241,1205,1,1,1,1,18,2
Graduation,Single,70337.0,0,0,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,0,178,0,35,26-44,576,485,0,0,0,0,16,1
2n Cycle,HasPartner,36145.0,1,0,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,1,378,1,29,26-44,172,154,1,1,1,1,8,0
PhD,Single,65295.0,0,0,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,0,188,0,34,26-44,664,658,0,0,0,0,19,1
Graduation,Single,68118.0,0,1,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,0,254,0,51,45-64,928,774,1,1,0,0,21,2
Graduation,Single,68743.0,0,0,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,0,668,1,47,45-64,2074,1959,0,0,0,0,29,1
2n Cycle,HasPartner,41039.0,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,339,0,32,26-44,467,422,0,0,0,0,14,2
Graduation,HasPartner,38946.0,0,1,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,0,248,0,59,45-64,257,216,1,1,0,0,10,2
Graduation,HasPartner,65777.0,0,0,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,0,192,0,47,45-64,1146,1092,0,0,0,0,16,1
PhD,Single,66476.0,0,1,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,0,479,1,38,26-44,689,611,1,1,0,0,18,2
PhD,Single,86857.0,0,0,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,1,655,1,42,26-44,2114,2074,0,0,0,0,21,1
PhD,HasPartner,77845.0,0,0,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,0,44,0,25,18-25,1346,1320,0,0,2,1,20,1
PhD,HasPartner,69476.0,0,0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,272,0,45,45-64,1044,977,0,0,0,0,14,1
PhD,Single,50611.0,0,1,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,1,633,1,54,45-64,493,489,1,1,1,1,16,2
Graduation,Single,61209.0,0,0,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,0,308,0,44,26-44,957,858,0,0,0,0,12,1
Master,HasPartner,42315.0,0,1,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,0,352,0,56,45-64,270,190,1,1,0,0,9,2
Basic,HasPartner,13084.0,0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,239,0,62,45-64,29,19,0,0,0,0,4,0
Master,Single,47570.0,1,1,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,1,396,1,65,65+,121,90,2,1,0,0,6,0
Master,HasPartner,61923.0,0,2,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,0,338,0,53,45-64,126,120,2,1,0,0,7,0
Graduation,Single,34824.0,0,0,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,0,95,0,19,18-25,23,19,0,0,0,0,3,0
PhD,Single,26518.0,1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,1,447,1,65,65+,57,55,2,1,0,0,5,0
Graduation,Single,45938.0,0,0,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,0,238,0,53,45-64,636,607,0,0,0,0,18,2
Graduation,HasPartner,78468.0,0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,81,0,54,45-64,1004,970,0,0,1,1,27,1
Graduation,Single,78901.0,0,1,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,0,285,0,41,26-44,734,700,1,1,0,0,17,2
Graduation,HasPartner,71427.0,2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,109,0,36,26-44,614,591,2,1,0,0,18,1
Graduation,Single,71022.0,0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,138,0,36,26-44,1453,1211,1,1,1,1,18,2
Master,Single,90247.0,0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,1,61,0,26,26-44,1621,1605,0,0,3,1,14,1
Master,Single,41335.0,1,0,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,0,185,0,46,45-64,187,182,1,1,0,0,9,0
Graduation,HasPartner,71952.0,1,0,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,0,535,1,28,26-44,1443,1350,1,1,2,1,20,1
PhD,Single,35682.0,1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,2,0,44,26-44,57,39,1,1,0,0,5,0
Graduation,Single,43185.0,0,1,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,0,445,1,63,45-64,637,607,1,1,0,0,18,2
PhD,HasPartner,66375.0,0,1,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,0,220,0,66,65+,948,757,1,1,1,1,11,2
Master,HasPartner,35178.0,1,0,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,1,535,1,43,26-44,59,41,1,1,1,1,4,0
Graduation,HasPartner,25252.0,1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,352,0,28,26-44,18,12,1,1,0,0,3,0
Master,Single,55250.0,0,1,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,0,616,1,49,45-64,903,837,1,1,0,0,22,2
Graduation,Single,33249.0,1,0,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,494,1,39,26-44,112,70,1,1,0,0,6,0
Graduation,HasPartner,58398.0,0,0,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,0,411,1,61,45-64,596,547,0,0,0,0,17,2
Graduation,HasPartner,50272.0,1,0,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,0,326,0,32,26-44,233,229,1,1,0,0,10,2
PhD,HasPartner,76618.0,0,0,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,0,569,1,39,26-44,1511,1364,0,0,0,0,10,1
2n Cycle,Single,87305.0,0,0,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,1,644,1,54,45-64,1152,1072,0,0,1,1,16,1
Graduation,HasPartner,25851.0,1,0,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,503,1,36,26-44,48,43,1,1,0,0,5,0
Graduation,Single,58710.0,0,1,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,0,455,1,44,26-44,1185,1011,1,1,0,0,25,2
Graduation,Single,45160.0,1,1,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,92,0,56,45-64,21,18,2,1,0,0,3,0
Master,HasPartner,74806.0,0,1,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,557,1,49,45-64,965,956,1,1,0,0,14,2
Graduation,HasPartner,59111.0,0,0,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,0,423,1,60,45-64,869,714,0,0,0,0,20,2
PhD,HasPartner,18988.0,1,0,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,37,0,30,26-44,16,15,1,1,0,0,4,0
Graduation,HasPartner,72190.0,0,0,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,0,501,1,49,45-64,1947,1698,0,0,0,0,15,1
Graduation,HasPartner,7500.0,1,0,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,1,697,1,38,26-44,71,39,1,1,1,1,7,0
Graduation,HasPartner,44794.0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,21,0,48,45-64,65,61,1,1,0,0,5,0
Graduation,HasPartner,80395.0,0,0,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,0,218,0,59,45-64,1380,1332,0,0,1,1,23,1
Master,Single,75012.0,0,0,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,0,155,0,38,26-44,1027,876,0,0,0,0,22,1
Master,HasPartner,56962.0,2,1,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,261,0,49,45-64,411,385,3,1,0,0,14,2
Graduation,HasPartner,89891.0,0,0,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,0,440,1,23,18-25,836,653,0,0,1,1,25,1
PhD,Single,35946.0,1,1,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,0,275,0,65,65+,11,11,2,1,0,0,3,0
PhD,HasPartner,53593.0,1,1,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,0,691,1,61,45-64,480,437,2,1,0,0,15,2
Graduation,HasPartner,66373.0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,382,1,36,26-44,606,497,2,1,0,0,16,2
PhD,Single,45072.0,1,2,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,0,256,0,66,65+,284,254,3,1,0,0,11,2
Graduation,Single,89694.0,1,1,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,0,263,0,41,26-44,1472,1430,2,1,3,1,11,2
Graduation,HasPartner,72025.0,0,0,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,1,61,0,65,65+,1677,1677,0,0,3,1,25,1
Graduation,HasPartner,67432.0,0,1,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,0,457,1,41,26-44,1335,1165,1,1,0,0,17,1
Master,HasPartner,70545.0,0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,26,0,62,45-64,334,313,1,1,0,0,12,2
Basic,HasPartner,17487.0,1,0,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,0,468,1,25,18-25,18,12,1,1,0,0,3,0
Graduation,HasPartner,62882.0,0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,689,1,45,45-64,1338,1241,1,1,0,0,18,1
PhD,Single,64108.0,0,1,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,0,463,1,61,45-64,1099,1078,1,1,0,0,26,2
